id;section;name;start_code;finish_code;task;score;fast;middle;slow
1;1;Видеообращение профессора;All;Leibniz;Отправьте p1s1, после чего как можно скорее p1s1end;12;1;2;3
1;2;Видеообращение профессора;Humanity;Babbage;Отправьте p1s2, после чего как можно скорее p1s2end;12;1;2;3
2;1;Покопаться в дневнике профессора;these;Ada;Введите p2, подождите 2 минуты, отправьте p2end;12;1;6;11
2;2;Покопаться в дневнике профессора;has;Turing;Введите p2, подождите 2 минуты, отправьте p2end;12;1;6;11
3;1;Поиск QR в бумагах по таймеру;people;Godel;Введите p3, подождите 3 минуты, отправьте p3end;12;1;2;7
3;1;Поиск QR в бумагах по таймеру;done;Neumann;Введите p3, подождите 3 минуты, отправьте p3end;12;1;2;7
4;1;Видеообращение ИИ feat. разгадать фильмы;were;Zuse;Введите p4, подождите 4 минуты, отправьте p4end(все равно не успеете);12;1;2;3
4;2;Видеообращение ИИ feat. разгадать фильмы;a;Vibe;Введите p4, подождите 4 минуты, отправьте p4end(все равно не успеете);12;1;2;3
5;1;Поиск записок для артефактов;born;Torvalds;Введите p5, затем отправьте p5end;12;1;2;3
5;2;Поиск записок для артефактов;good;Knute;Введите p5, затем отправьте p5end;12;1;2;3
6;1;Расшифровать и узнать любимую книгу профессора;and;Jobs;Введите p6, затем отправьте p6end;12;1;2;3
6;2;Расшифровать и узнать любимую книгу профессора;job;Ershov;Введите p6, затем отправьте p6end;12;1;2;3
7;1;Спящий охранник;lived;Wirth;Введите p7, затем отправьте p6end;12;1;2;3
7;2;Спящий охранник;of;Gates;Введите p7, затем отправьте p6end;12;1;2;3
8;1;Кубик рубика;for;Allan;Введите p8, затем отправьте p6end;12;1;2;3
8;2;Кубик рубика;getting;Brin;Введите p8, затем отправьте p6end;12;1;2;3
9;1;404 Not Found - найти код по одному из сайтов;my;Kaspersky;Введите p9, затем отправьте p6end;12;1;2;3
9;2;404 Not Found - найти код по одному из сайтов;AI;Roshal;Введите p9, затем отправьте p6end;12;1;2;3
10;1;Физика;appearance;Tanenbaum;Введите p10, затем отправьте p6end;12;1;2;3
10;2;Физика;coming;Stroustrup;Введите p10, затем отправьте p6end;12;1;2;3
11;1;Конец;p11s1;p11s1end;Конец;12;10;20;30
11;2;Конец;p11s2;p11s2end;Конец;12;20;20;30